APT,Aliases,Alleged Location,Allegiance/Affiliation,Targeted Sectors,TARGETED COUNTRIES,TOOL,INFO,REFERENCE
Carbanak,"Anunak, Carbon Spider",UKRAINE,,financial institutions,"AUSTRALIA, AUSTRIA, BRAZIL, BULGARIA, CANADA, CHINA, CZECH, FRANCE, GERMANY, HONG KONG, ICELAND, INDIA, LUXEMBURG, MOROCCO, NEPAL, NORWAY, PAKISTAN, POLAND, RUSSIA, SPAIN, SWEDEN, SWITZERLAND, TAIWAN, UNITED KINGDOM, UNITED KINGDOM, UNITED STATES,UZBEKISTAN","agent orm, ammyyrat, antak, ave maria, babymetal, backdoor batel, bateleur, bellhop, mbr eraser, cain & abel, carbanak, cobalt strike, dnsmessenger, dnsrat, driftpin, griffon, halfbaked, js flash, klrd, mimikatz, mbr eraser, netscan, odinaff, powerpipe, powersource, psexec, sekur, socksbot, softperfect network scanner, sqlrat, team viewer, tinymet, vb flash","Carbanak is a threat group that mainly targets banks. It also refers to malware of the same name (Carbanak). It is sometimes referred to as FIN7, but these appear to be two groups using the same Carbanak malware and are therefore tracked separately. (Kaspersky) From late 2013 onwards, several banks and financial institutions have been attacked by an unknown group of cybercriminals. In all these attacks, a similar modus operandi was used. According to victims and the law enforcement agencies
(LEAs) involved in the investigation, this could result in cumulative losses of up to 1 billion USD. The attacks are still active. This report provides a technical analysis of these attacks. The motivation for the attackers, who are making use of techniques commonly seen in Advanced Persistent Threats (APTs), appears to be financial gain as opposed to espionage. An analysis of the campaign has revealed that the initial infections were achieved using spear phishing emails that appeared to be legitimate banking communications, with Microsoft Word 97 – 2003 (.doc) and Control Panel Applet (.CPL) files attached. We believe that the attackers also redirected to exploit kits website traffic that related to financial activity.",https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064518/Carbanak_APT_eng.pdf
Careto,"The Mask, Mask,  Ugly Face",SPAIN,,"diplomatic/embassies, higher education, energy, government & defense.","BRAZIL, FRANCE, GERMANY, IRAN, LIBYA, MOROCCO, POLAND, SOUTH AFRICA, SPAIN, SWITZERLAND, TUNISIA, UNITED KINGDOM, UNITED STATES,VENEZUELA",careto," The Mask is an advanced threat actor that has been involved in cyberespionage operations since at least 2007. The name ""Mask"" comes from the Spanish slang word ""Careto"" (""Ugly Face"" or “Mask”) which the authors included in some of the malware modules. More than 380 unique victims in 31 countries have been observed to date. What makes “The Mask” special is the complexity of the toolset used by the attackers. This includes an extremely sophisticated malware, a rootkit, a bootkit, 32-and 64-bit Windows versions, Mac OS X and Linux versions and possibly versions for Android and iPad/iPhone (Apple iOS).",https://d2538mqrb7brka.cloudfront.net/wp-content/uploads/sites/43/2018/03/20133638/unveilingthemask_v1.0.pdf
Charming Kitten,"Newscaster, NewsBeef, Parastoo, Group 83",IRAN,,government & defense,"AFGHANISTAN, ALGERIA, BRAZIL, CHINA, DENMARK, FRANCE, GERMANY, INDIA, IRAN, IRAQ, ISRAEL, JAPAN, ROMANIA, RUSSIA, SWITZERLAND, SYRIA, TURKEY, UNITED ARAB EMIRATES, UNITED KINGDOM, UNITED STATES","downpaper, firemalv, macdownloader, stealer builder","Charming Kitten is an Iranian cyberespionage group that has been active since approximately 2014. They appear to focus on targeting individuals of interest to Iran who work in academic research, human rights, and media, with most victims having been located in Iran, the US, Israel, and the UK. Charming Kitten usually tries to access private email and Facebook accounts, and sometimes establishes a foothold on victim computers as a secondary objective. The group's TTPs overlap extensively with another group, Magic Hound, APT 35, Cobalt Gypsy, Rocket Kitten, resulting in reporting that may not distinguish between the two groups' activities.",https://attack.mitre.org/groups/G0058/
Cutting Kitten,"Threat Group 2889, TG-2889, Cutting Kitten",IRAN,"State-sponsored, security company ITSecTeam","aviation & aerospace, chemical & petrochemical, higher education, energy, financial institutions, banking, government & defense, healthcare, mining,oil & gas, it & electronics, telecommunications, transportation, utilities","CANADA, CHINA, FRANCE, GERMANY, INDIA, ISRAEL, KUWAIT, MEXICO, NETHERLANDS, PAKISTAN, QATAR, SAUDI ARABIA, SOUTH KOREA, TURKEY, UNITED ARAB EMIRATES, UNITED KINGDOM, UNITED STATES","csext, jasus, kagent, net crawler, pvcout, synflooder, tinyzbot, wndtest, zhmimikatz","Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). This group evolved into Magic Hound, APT 35, Cobalt Gypsy, Rocket Kitten.",https://www.cylance.com/content/dam/cylance/pages/operation-cleaver/Cylance_Operation_Cleaver_Report.pdf
Cobalt Group,"Cobalt Gang, Cobalt Spider, Gold Kingswood",RUSSIA,,financial institutions,"ARGENTINA, ARMENIA, AUSTRIA, AZERBAIJAN, BELARUS, BULGARIA, CANADA, CHINA, CZECH, ESTONIA, GEORGIA, ITALY, JORDAN, KAZAKHSTAN, KUWAIT, KYRGYZSTAN, MALAYSIA, MOLDOVA, NETHERLANDS, POLAND, ROMANIA, RUSSIA, SPAIN, TAIWAN, TAJIKISTAN, THAILAND, TURKEY, UNITED KINGDOM, UNITED STATES, VIETNAM","ammyyrat, atmspitter, atmripper cobalt strike, cobint, cyst downloader, mimikatz, metasploit, more_eggs, sdelete, softperfect network scanner, spicyomelette","Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions. The group has conducted intrusions to steal money via targeting ATM systems, card processing, payment systems and SWIFT systems. Cobalt Group has mainly targeted banks in Eastern Europe, Central Asia, and Southeast Asia. The group has been known to target organizations in order to use their access to then compromise additional victims. Reporting indicates there may be links between Cobalt Group and both the malware Carbanak and the group Carbanak, Anunak.",https://www.group-ib.com/blog/cobalt
CopyKittens,Slayer Kitten,IRAN,,"higher education, government & defense, it & electronics, media & entertainment","GERMANY, ISRAEL, JORDAN, SAUDI ARABIA, TURKEY, UNITED STATES","cobalt strike, empire, matryoshka, tdtess, vminst, zpp","CopyKittens is an Iranian cyberespionage group that has been operating since at least 2013. It has targeted countries including Israel, Saudi Arabia, Turkey, the U.S., Jordan, and Germany. The group is responsible for the campaign known as Operation Wilted Tulip.","https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf, https://attack.mitre.org/groups/G0052/"
CryptoCore,"Dangerous Password, Leery Turtle","RUSSIA, UKRAINE, ROMANIA",,cryptocurrency exchanges,"UNITED STATES, JAPAN","mimikatz, cageychameleon","In this research, we present a hidden and persistent group, that has been targeting crypto-exchanges, mainly in the US and Japan since as early as 2018. The actor has successfully stolen millions’ worth of cryptocoins. We named it as “CryptoCore” (or “Crypto-gang”), aka “Dangerous Password”, “Leery Turtle”. The CryptoCore report mainly focuses on the group’s profile, modus operandi, and digital infrastructure.",https://www.clearskysec.com/wp-content/uploads/2020/06/CryptoCore_Group.pdf
Dark Caracal,,LEBANON,Lebanese General Directorate of General Security (GDGS),"higher education, financial institutions, government & defense, healthcare, manufacturing, utilities, activists & dissidents, journalists","CHINA, FRANCE, GERMANY, INDIA, ITALY, JORDAN, LEBANON, NEPAL,NETHERLANDS, PAKISTAN, PHILIPPINES, QATAR, RUSSIA, SAUDI ARABIA, SOUTH KOREA,SWITZERLAND, SYRIA, THAILAND, UNITED STATES, VENEZUELA,VIETNAM","bandook, crossrat, finfisher, pallas","Lookout and Electronic Frontier Foundation (EFF) have discovered Dark Caracal3 , a persistent and prolific actor, who at the time of writing is believed to be administered out of a building belonging to the Lebanese General Security Directorate in Beirut. At present, we have knowledge of hundreds of gigabytes of exfiltrated data, in 21+ countries, across thousands of victims. Stolen data includes enterprise intellectual property and personally identifiable information. We are releasing more than 90 indicators of compromise (IOC) associated with Dark Caracal including 11 different Android malware IOCs; 26 desktop malware IOCs across Windows, Mac, and Linux; and 60 domain/IP based IOCs. Dark Caracal targets include individuals and entities that a nation state might typically attack, including governments, military targets, utilities, financial institutions, manufacturing companies, and defense contractors. We specifically uncovered data associated with military personnel, enterprises, medical professionals, activists, journalists, lawyers, and educational institutions during this investigation. Types of data include documents, call records, audio recordings, secure messaging client content, contact information, text messages, photos, and account data.",https://info.lookout.com/rs/051-ESQ-475/images/Lookout_Dark-Caracal_srr_20180118_us_v.1.0.pdf
Darkhotel,"APT-C-06, SIG25, Dubnium, Fallout Team, Shadow Crane",SOUTH KOREA,State-sponsored,"energy, government & defense, healthcare, ngo/npo & think tanks, pharmaceutical, research institute, it & technology.","BANGLADESH, BELGIUM, CHINA, GERMANY, GREECE, HONG KONG, INDIA,INDONESIA, IRELAND, ITALY, JAPAN, KAZAKHSTAN, LEBANON, NORTH KOREA, MEXICO,MOZAMBIQUE, PAKISTAN, PHILIPPINES, RUSSIA, SERBIA, SINGAPORE, SOUTH KOREA,TAIWAN, THAILAND, UNITED ARAB EMIRATES, UNITED STATES","darkhotel, greezebackdoor, luder, nemim, pioneer, tapaoux","The activities of the DarkHotel advanced persistent threat (APT) actor came to light in November 2014, when Kaspersky published a report detailing a sophisticated cyberespionage campaign targeting business travelers in the Asia-Pacific region. The group has been around for nearly a decade and some researchers believe its members are Korean speakers. The attackers targeted their victims using several methods, including through their hotel’s Wi-Fi, zero-day exploits and peer-to-peer (P2P) file sharing websites. Nearly one year later, the threat group was observed using new attack techniques and an exploit leaked from Italian spyware maker Hacking Team. DarkHotel victims have been spotted in several countries, including North Korea, Russia, South Korea, Japan, Bangladesh, Thailand, Taiwan, China, the United States, India, Mozambique, Indonesia and Germany. Up until recently, the attacks appeared to focus on company executives, researchers and development personnel from sectors such as defense industrial base, military, energy, government, NGOs, electronics manufacturing, pharmaceutical, and medical. In more recent DarkHotel attacks it has dubbed “Inexsmar,” security firm Bitdefender said the hackers targeted political figures, and they appeared to be using some new methods.",https://www.securityweek.com/darkhotel-apt-uses-new-methods-target-politicians
DarkHydrus,LazyMeerkat,IRAN,,"government & defense , higher educational ","ISRAEL, SAUDI ARABIA, JORDAN","cobalt strike, mimikatz, phishery, roguerobin",DarkHydrus is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and custom payloads for carrying out attacks.,https://attack.mitre.org/groups/G0079/
Deep Panda,"Shell Crew, WebMasters, KungFu Kittens, PinkPanther, Black Vine, Group 13",CHINA,,"financial institutions, government & defense, telecommunications, ngo/npo & think tanks","AUSTRALIA, UNITED STATES","cobalt strike, derusbi, jerseymikes, mivast, plugx, sakula, streamex, tasklist","Deep Panda is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications. The intrusion into healthcare company Anthem has been attributed to Deep Panda. This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. Deep Panda also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion. Some analysts track Deep Panda and APT 19, C0d0so as the same group, but it is unclear from open source information if the groups are the same.",https://attack.mitre.org/groups/G0009/
Desert Falcons,"APT-C-23, Two-Tailed Scorpion",GAZA,,"higher education, government & defense, Infrastructure","ALBANIA, ALGERIA, AUSTRALIA, BELGIUM, BOSNIA, CANADA,CHINA, CYPRUS, DENMARK, EGYPT, FRANCE, GERMANY, GREECE, HUNGARY, INDIA, IRAN,IRAQ, ISRAEL, ITALY, JAPAN, JORDAN, KUWAIT, LEBANON, LIBYA, MALI, MAURITANIA, MEXICO,MOROCCO, NETHERLANDS, NORWAY, PAKISTAN, PALESTINE, PORTUGAL, QATAR, ROMANIA,RUSSIA, SAUDI ARABIA, SOUTH KOREA, SUDAN, SWEDEN, SYRIA, TAIWAN, TURKEY, UNITED ARAB EMIRATES,UNITED KINGDOM,BAHRAIN, UNITED STATES, UZBEKISTAN, YEMEN,ZIMBABWE","frozencell, glancelove, gnatspy, kasperagent, micropsia, vamp, viperrat","The Global Research and Analysis Team (GReAT) at Kaspersky Lab has uncovered new targeted attacks in the Middle East. Native Arabic-speaking cybercriminals have built advanced methods and tools to deliver, hide and operate malware that they have also developed themselves. This malware was originally discovered during an investigation of one of the attacks in the Middle East. Political activities and news are being actively used by the cybercriminals to entice victims into opening files and attachments. Content has been created with professionalism, with well designed visuals and interesting, familiar details for the victims, as if the information were long awaited. The victims of the attacks to date have been carefully chosen; they are active and influential in their respective cultures, but also attractive to the cybercriminals as a source of intelligence and a target for extortion. The attackers have been operating for more than two years now, running different campaigns, targeting different types of victims and different types of devices (including Windows- and Android-based). We suspect that at least 30 people distributed across different countries are operating the campaigns",https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064309/The-Desert-Falcons-targeted-attacks.pdf
Dragonfly,Energetic Bear,RUSSIA,,"higher education, energy, it & electronics, manufacturing, mining,oil & gas, pharmaceutical","CANADA, FRANCE, GERMANY, GREECE, ITALY, POLAND, ROMANIA, RUSSIA,SERBIA, SPAIN, TURKEY, UNITED KINGDOM, UNITED KINGDOM,UNITED STATES","commix, crashoverride, dirsearch, dorshel, havex rat, hello, heriplor, impacket, industroyer, inveigh, karagany, lightsout, listrix, nmap, oldrea, phpmailer, psexec, smbtrap, sqlmap, subbrute, sublist3r, sysmain, wpscan, wso","Dragonfly is a cyberespionage group that has been active since at least 2011. They initially targeted defense and aviation companies but shifted to focus on the energy sector in early 2013. They have also targeted companies related to industrial control systems.
According to Kaspersky, Crouching Yeti has been operating since at least 2010 and has infected roughly 2,800 targets in 38 countries, and in industries as diverse as education and pharmaceuticals. A similar group emerged in 2015 and was identified by Symantec as Berserk Bear, Dragonfly 2.0. There is debate over the extent of the overlap between Dragonfly and Berserk Bear, Dragonfly 2.0, but there is sufficient evidence to lead to these being tracked as two separate groups.",https://attack.mitre.org/groups/G0035/
Dragonfly 2.0,"Berserk Bear, Dymalloy, Dymalloy",RUSSIA,,energy,"GERMANY, SWITZERLAND,TURKEY,UNITED STATES","bitsadmin, goodor, impacket, karagany, phisherly","Dragonfly 2.0 is a suspected Russian group that has targeted government entities and multiple U.S. critical infrastructure sectors since at least March 2016. There is debate over the extent of overlap between Dragonfly 2.0 and Energetic Bear, Dragonfly, but there is sufficient evidence to lead to these being tracked as two separate groups.",https://attack.mitre.org/groups/G0074/
DragonOK,,CHINA,,"high technology, manufacturing","CAMBODIA, JAPAN, RUSSIA, TAIWAN,TIBET","formerfirstrat, hellobridge, htran, isspace, khrat, newct, nflog, plugx, poison ivy, rambo, sysget, tidepool","DragonOK is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat group Moafee. It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, Poison Ivy, FormerFirstRat, NFlog, and NewCT.",https://attack.mitre.org/groups/G0017/
Dust Storm,,UNKNOWN,,"energy, mining,oil & gas","JAPAN, SOUTH KOREA, UNITED STATES","gh0st rat, misdat, mis-type, poison ivy, s-type","Very little public information was available throughout 2010 on this threat, despite the group’s primary backdoor gaining some level of prominence in targeted Asian attacks. This may be explained by the group’s early reliance on Dynamic DNS domains for their command and control (C2) infrastructure, as well as their use of public RATs like Poison Ivy and Gh0st RAT for second-stage implants. It wasn’t until June 2011 that Operation Dust Storm started to garner some notoriety from a series of attacks which leveraged an unpatched Internet Explorer 8 vulnerability, CVE-2011-1255, to gain a foothold into victim networks. In these attacks, a link to the exploit was sent via a spear phishing email from a purported Chinese student seeking advice or asking the target a question following a presentation. As to other documented cases, the attacker started interacting with the infected machine within minutes of compromise to begin manual network and host enumeration. In October 2011, the group attempted to take advantage of the ongoing Libyan crisis at the time and phish the news cycle regarding Muammar Gaddafi’s death on October 20, 2011. It appears that in addition to some US defense targets, this campaign was also directed at a Uyghur mailing list. This time, the group used a specially crafted malicious Windows Help (.hlp) file, which exploited CVE-2010-1885.",https://www.cylance.com/content/dam/cylance/pdfs/reports/Op_Dust_Storm_Report.pdf
Elderwood,"Elderwood Gang, Beijing Group, Sneaky Panda, SIG22",CHINA,,"higher education, energy, financial institutions, government & defense","AUSTRALIA, CANADA, CHINA, DENMARK, HONG KONG, INDIA, SWITZERLAND, TAIWAN, UNITED KINGDOM,UNITED STATES","briba, gh0st rat, hydraq, linfo, naid, nerex, pasam, poison ivy, vasport, wiarp","In 2009, Google was attacked by a group using the Hydraq (Aurora) Trojan horse. Symantec has monitored this group’s activities for the last three years as they have consistently targeted a number of industries. Interesting highlights in their method of operations include: the use of seemingly an unlimited number of zero-day exploits, attacks on supply chain manufacturers who service the target organization, and a shift to “watering hole” attacks (compromising certain websites likely to be visited by the target organization). The targeted industry sectors include, but are not restricted to; defense, various defense supply chain manufacturers, human rights and non-governmental organizations (NGOs), and IT service providers. These attackers are systematic and re-use components of an infrastructure we have termed the “Elderwood platform”. The name “Elderwood” comes from a source code variable used by the attackers. This attack platform enables them to quickly deploy zero-day exploits. Attacks are deployed through spear phishing emails and also, increasingly, through Web injections in watering hole attacks. It is likely the attackers have gained access to the source code for some widely used applications, or have thoroughly reverse-engineered the compiled applications in order to discover these vulnerabilities. The vulnerabilities are used as needed, often within close succession of each other if exposure of any of the vulnerabilities is imminent. The scale of the attacks, in terms of the number of victims and the duration of the attacks, are another indication of the resources available to the attackers. Victims are attacked, not for petty crime or theft, but for the wholesale gathering of intelligence and intellectual property. The resources required to identify and acquire useful information—let alone analyze that information—could only be provided by a large criminal organization, attackers supported by a nation state, or a nation state itself.",http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the-elderwood-project.pdf
Equation,"Equation Group, Tilded Team",USA, believed to be tied to the NSA’s Tailored Access Operations unit,"financial institutions, government & defense, research institute, diplomatic/embassies, energy, infrastructure, higher education, aviation & aerospace, healthcare, telecommunications, media & entertainment","IRAN,RUSSIA,PAKISTAN,AFGHANISTAN,INDIA,CHINA,SYRIA,MALI,LEBANON,YEMEN,UNITED ARAB EMIRATES,ALGERIA,KENYA,UNITED KINGDOM,LIBYA,MEXICO,QATAR,EGYPT,TURKEY,SOMALIA,MYANMAR,GERMANY,SOUTH AFRICA,NIGERIA,UNITED STATES,VENEZUELA,SUDAN,PALESTINE,MOROCCO,MALAYSIA,KAZAKHSTAN,IRAQ,BRAZIL,UGANDA,SWITZERLAND,SINGAPORE,PHILIPPINES,PERU,FRANCE,ECUADOR,BELGIUM,BAHRAIN","darkpulsar, doublefantasy, doublepulsar, equationdrug, equationlaser, equestre, fanny, grok, lambert, plexor, regin, triplefantasy","Kaspersky researchers have documented 500 infections by Equation Group in at least 42 countries, with Iran, Russia, Pakistan, Afghanistan, India, Syria, and Mali topping the list. Because of a self-destruct mechanism built into the malware, the researchers suspect that this is just a tiny percentage of the total; the actual number of victims likely reaches into the tens of thousands. A long list of almost superhuman technical feats illustrate Equation Group's extraordinary skill, painstaking work, and unlimited resources. They include: • The use of virtual file systems, a feature also found in the highly sophisticated Regin malware. Recently published documents provided by Ed Snowden indicate that the NSA used Regin to infect the partly state-owned Belgian firm Belgacom. • The stashing of malicious files in multiple branches of an infected computer's registry. By encrypting all malicious files and storing them in multiple branches of a computer's Windows registry, the infection was impossible to detect using antivirus software. • Redirects that sent iPhone users to unique exploit Web pages. In addition, infected machines reporting to Equation Group command servers identified themselves as Macs, an indication that the group successfully compromised both iOS and OS X devices. • The use of more than 300 Internet domains and 100 servers to host a sprawling command and control infrastructure. • USB stick-based reconnaissance malware to map air-gapped networks, which are so sensitive that they aren't connected to the Internet. Both Stuxnet and the related Flame malware platform also had the ability to bridge airgaps. • An unusual if not truly novel way of bypassing code-signing restrictions in modern versions of Windows, which require that all third-party software interfacing with the operating system kernel be digitally signed by a recognized certificate authority. To circumvent this restriction, Equation Group malware exploited a known vulnerability in an already signed driver for CloneCD to achieve kernel-level code execution. Taken together, the accomplishments led Kaspersky researchers to conclude that Equation Group is probably the most sophisticated computer attack group in the world, with technical skill and resources that rival the groups that developed Stuxnet and the Flame espionage malware",https://arstechnica.com/information-technology/2015/02/how-omnipotent-hackers-tied-to-the-nsa-hid-for-14-years-and-were-found-at-last/
FIN4,Wolf Spider,ROMANIA,,"financial institutions, healthcare, pharmaceutical.",,,"FireEye tracks a threat group that we call ""FIN4,"" whose intrusions seem to have a different objective: to obtain an edge in stock trading. FIN4 appears to conduct intrusions that are focused on a single objective: obtaining access to insider information capable of making or breaking the stock prices of public companies. The group specifically targets the emails of C-level executives, legal counsel, regulatory, risk, and compliance personnel, and other individuals who would regularly discuss confidential, market-moving information. FIN4 has targeted over 100 companies since at least mid-2013. All of the targeted organizations are either public companies or advisory firms that provide services to public companies (such as investor relations, legal, and investment banking firms). Over two-thirds of the targeted organizations are healthcare and pharmaceutical companies. FIN4 probably focuses on these types of organizations because their stocks can move dramatically in response to news of clinical trial results, regulatory decisions, or safety and legal issues.",https://www.secureworks.com/research/threat-group-3390-targets-organizations-for-cyberespionage
FIN5,,UNKNOWN,,"casinos & gaming, hospitality & retail",,"flipside, pwdump, rawpos, sdelete, windows credential editor","FIN5 is a financially motivated threat group that has targeted personally identifiable information and payment card information. The group has been active since at least 2008 and has targeted the restaurant, gaming, and hotel industries. The group is made up of actors who likely speak Russian. (DarkReading) No 0days. No spear-phishing, either: The cybercriminal group tied to numerous payment card breaches including Goodwill and best known by its socalled ""RawPOS"" malware employed legitimate user credentials to access its targets' networks. Researchers at FireEye here today shared their recent findings on this prolific and long-running cybercrime gang that has been the subject of multiple Visa security alerts to merchants. The RawPOS memory scraper malware has been infecting the lodging industry in epidemic proportions over the past year, and is considered one of the first memory scrapers to target point-of-sale systems. FireEye has dubbed the cybercrime gang FIN5. ""One of the most unique things about FIN5 is that in every intrusion we responded to where FIN5 has been active, legitimate access was identified. They had valid user credentials to remotely log into the network,"" said Barry Vengerik, principal threat analyst at FireEye. ""No sexy zero-days, no remote exploits -- not even spear-phishing. They had credentials from somewhere."" FIN5, which earlier this year was profiled by researchers at Trend Micro and has been in action since at least 2008, uses real credentials from the victim organization's virtual private network, Remote Desktop Protocol, Citrix, or VNC. Vengerik says the attackers got those credentials via third parties associated with the victims' POS systems.",https://www.darkreading.com/analytics/prolific-cybercrime-gang-favors-legit-login-credentials/d/d-id/1322645?
FIN6,"ITG08, Skeleton Spider",UNKNOWN,,hospitality & retail,,"abaddonpos, cobalt strike, frameworkpos, grabnew, grateful pos, lockergoga, ryuk, windows credential editor, wmi","FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on underground marketplaces. This group has aggressively targeted and compromised point of sale (PoS) systems in the hospitality and retail sectors. (FireEye) FIN6 is a cybercriminal group intent on stealing payment card data for monetization. In 2015, FireEye Threat Intelligence supported several Mandiant Consulting investigations in the hospitality and retail sectors where FIN6 actors had aggressively targeted and compromised point-of-sale (POS) systems, making off with millions of payment card numbers. Through iSIGHT, we learned that the payment card numbers stolen by FIN6 were sold on a “card shop” — an underground criminal marketplace used to sell or exchange payment card data.",https://www2.fireeye.com/rs/848-DID-242/images/rpt-fin6.pdf
FIN7,,RUSSIA,,"casinos & gaming, higher education, energy, financial institutions, government & defense, high technology, hospitality & retail, it & electronics, telecommunications, Transportation","UNITED STATES, MALTA","astra, bateleur, carbanak, cobalt strike, griffon, halfbaked, powersource, sqlrat, textmate","FIN7 is a financially-motivated threat group that has primarily targeted the U.S. retail, restaurant, and hospitality sectors since mid-2015. They often use point-ofsale malware. A portion of FIN7 was run out of a front company called Combi Security. FIN7 is sometimes referred to as Carbanak, Anunak, but these appear to be two groups using the same Carbanak malware and are therefore tracked separately. The reports about arrests made of the mastermind of Carbanak, Anunak instead of FIN7. However, security research teams keep referring to this arrest for all FIN7 activities since.",https://www.fireeye.com/blog/threat-research/2018/08/fin7-pursuing-an-enigmatic-and-evasive-global-criminal-operation.html
FIN8,,UNKNOWN,,hospitality and retail,UNITED STATES,"punchbuggy, punchtrack, shelltea","We attribute the use of this EoP to a financially motivated threat actor. In the past year, not only have we observed this group using similar infrastructure and tactics, techniques, and procedures (TTPs), but they are also the only group we have observed to date who uses the downloader PUNCHBUGGY and POS malware PUNCHTRACK. Designed to scrape both Track 1 and Track 2 payment card data, PUNCHTRACK is loaded and executed by a highly obfuscated launcher and is never saved to disk. This actor has conducted operations on a large scale and at a rapid pace, displaying a level of operational awareness and ability to adapt their operations on the fly. These abilities, combined with targeted usage of an EoP exploit and the reconnaissance required to individually tailor phishing emails to victims, potentially speaks to the threat actors’ operational maturity and sophistication. FireEye identified more than 100 organizations in North America that fell victim to this campaign",https://www.fireeye.com/blog/threat-research/2016/05/windows-zero-day-payment-cards.html
FIN10,,UNKNOWN,,"casinos & gaming, mining,oil & gas","UNITED STATES, CANADA, MEXICO","empire, splinterrat","FireEye has observed multiple targeted intrusions occurring in North America — predominately in Canada — dating back to at least 2013 and continuing through at least 2016, in which the attacker(s) have compromised organizations’ networks and sought to monetize this illicit access by exfiltrating sensitive data and extorting victim organizations. In some cases, when the extortion demand was not met, the attacker(s) destroyed production Windows systems by deleting critical operating system files and then shutting down the impacted systems. Based on near parallel TTPs used by the attacker(s) across these targeted intrusions, we believe these clusters of activity are linked to a single, previously unobserved actor or group that we have dubbed FIN10.",https://www2.fireeye.com/rs/848-DID-242/images/rpt-fin10.pdf
Gallmaker,,UNKNOWN,,"diplomatic/embassies, government & defense","Windows Roaming Tools, Metasploit, Winzip, Rex Powershell, ",,"Symantec researchers have uncovered a previously unknown attack group that is targeting government and military targets, including several overseas embassies of an Eastern European country, and military and defense targets in the Middle East. This group eschews custom malware and uses living off the land (LotL) tactics and publicly available hack tools to carry out activities that bear all the hallmarks of a cyber espionage campaign. The group, which we have given the name Gallmaker, has been operating since at least December 2017, with its most recent activity observed in June 2018.",https://www.symantec.com/blogs/threat-intelligence/gallmaker-attack-group
Gamaredon Group,,RUSSIA,FSB 16th & 18th Centers,government & defense and Law enforcement,UNITED KINGDOM,"fraudrop, gamaredon, pteranodon, resetter","The Lookingglass Cyber Threat Intelligence Group (CTIG) has been tracking an ongoing cyber espionage campaign named “Operation Armageddon”. The name was derived from multiple Microsoft Word documents used in the attacks. “Armagedon” (spelled incorrectly) was found in the “Last Saved By” and “Author” fields in multiple Microsoft Word documents. Although continuously developed, the campaign has been intermittently active at a small scale, and uses unsophisticated techniques. The attack timing suggests the campaign initially started due to Ukraine’s decision to accept the Ukraine--?European Union Association Agreement (AA). The agreement was designed to improve economic integrations between Ukraine and the European Union. Russian leaders publicly stated that they believed this move by Ukraine directly threatened Russia’s national security. Although initial steps to join the Association occurred in March 2012, the campaign didn’t start until much later (mid?2013), as Ukraine and the EU started to more actively move towards the agreement. Russian actors began preparing for attacks in case Ukraine finalized the AA. The earliest identified modification timestamp of malware used in this campaign is June 26, 2013. A group of files with modification timestamps between August 12 and September 16, 2013 were used in the first wave of spear-phishing attacks, targeting government officials prior to the 10th Yalta Annual Meeting: “Changing Ukraine in a Changing World: Factors of Success.”",https://www.lookingglasscyber.com/wp-content/uploads/2015/08/Operation_Armageddon_Final.pdf
GCMAN,,UNKNOWN,,financial institutions,RUSSIA,"malicious rar archives, putty, vnc, meterpreter",,"A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar techniques to the Corkow, Metel Group to infect banking institutions and attempt to transfer money to e-currency services. The initial infection mechanism is handled by spear-phishing financial institution targets with e-mails carrying a malicious RAR archive to. Upon opening the RAR archive, an executable is started instead of a Microsoft Word document, resulting in infection. Once inside the network, the GCMAN group uses legitimate and penetration testing tools such as Putty, VNC, and Meterpreter for lateral movement. Our investigation revealed an attack where the group then planted a cron script into bank’s server, sending financial transactions at the rate of $200 per minute. A time-based scheduler was invoking the script every minute to post new transactions directly to upstream payment processing system. This allowed the group to transfer money to multiple e-currency services without these transactions being reported to any system inside the bank"
